"","castaway_id","full_name","short_name","date_of_birth","date_of_death","gender","race","ethnicity","occupation","personality_type"
"74",74,"Penny Ramsey","Penny",1975-04-24,NA,"Female",NA,NA,"Pharmaceutical Sales","ESFJ"
"75",75,"Jake Billingsley","Jake",1941-08-21,NA,"Male",NA,NA,"Land Broker","ISFJ"
"76",76,"Ted Rogers Jr.","Ted",1964-12-28,NA,"Male","Black",NA,"Software Development Manager","ESTP"
"77",77,"Helen Glover","Helen",1955-04-28,NA,"Female",NA,NA,"Navy Swim Instructor","ISTJ"
"78",78,"Jan Gentry","Jan",1948-10-31,NA,"Female",NA,NA,"Teacher","ENFP"
"79",79,"Clay Jordan","Clay",1955-12-30,NA,"Male",NA,NA,"Restaurant Owner","ESTP"
"80",80,"Brian Heidik","Brian",1968-03-09,NA,"Male",NA,NA,"Used Car Salesman","ISTP"
"81",81,"Ryan Aiken","Ryan",1979-02-13,NA,"Male",NA,NA,"Model","ESFP"
"82",82,"Janet Koth","Janet",1955-11-18,NA,"Female",NA,NA,"Homemaker","ISFJ"
"83",83,"Daniel Lue","Daniel",1975-11-29,NA,"Male","Asian","Chinese American","Tax Accountant","INFP"
"84",84,"JoAnna Ward","JoAnna",1971-04-29,NA,"Female","Black",NA,"Guidance Counselor","ISTJ"
"85",85,"Jeanne Hebert","Jeanne",1962-01-06,NA,"Female",NA,NA,"Marketing Director","ISTJ"
"86",86,"Shawna Mitchell","Shawna",1979-07-28,NA,"Female",NA,NA,"Retail Saleswoman","ENFP"
"87",87,"Roger Sexton","Roger",1946-09-26,NA,"Male",NA,NA,"Construction Company V.P.","ISTJ"
"88",88,"Dave Johnson","Dave",1979-01-16,NA,"Male",NA,NA,"Rocket Scientist","ISTJ"
"89",89,"Deena Bennett","Deena",1967-02-12,NA,"Female",NA,"Hispanic or Latino","Deputy District Attorney","ENTJ"
"90",90,"Alex Bell","Alex",1970-05-16,NA,"Male",NA,NA,"Triathlon Coach","ENFJ"
"91",91,"Christy Smith","Christy",1978-09-13,NA,"Female",NA,NA,"Children's Adventure Guide","INFP"
"92",92,"Heidi Strobel","Heidi",1978-10-29,NA,"Female",NA,NA,"Gym Teacher","ENTJ"
"93",93,"Butch Lockley","Butch",1952-08-28,NA,"Male",NA,NA,"Principal","ISFJ"
"94",94,"Rob Cesternino","Rob C.",1978-10-20,NA,"Male",NA,NA,"Computer Projects Coordinator","ENTP"
"95",95,"Matthew von Ertfelda","Matthew",1969-07-24,NA,"Male",NA,NA,"Restaurant Designer","INTP"
"96",96,"Jenna Morasca","Jenna M.",1981-02-15,NA,"Female",NA,NA,"Swimsuit Model","ISTP"
"97",97,"Nicole Delma","Nicole",1978-09-19,NA,"Female",NA,NA,"Massage Therapist","INTP"
"98",98,"Ryan Shoulders","Ryan S.",1980-03-28,NA,"Male",NA,NA,"Produce Clerk","INFP"
"99",99,"Lillian Morris","Lillian",1952-04-03,NA,"Female",NA,NA,"Scout Troop Leader","INFP"
"100",100,"Burton Roberts","Burton",1972-04-10,NA,"Male",NA,NA,"Marketing Executive","ISTJ"
"101",101,"Michelle Tesauro","Michelle",1981-01-16,NA,"Female",NA,NA,"Student","ENFP"
"102",102,"Trish Dunn","Trish",1960-10-29,NA,"Female",NA,NA,"Sales Executive","ENFJ"
"103",103,"Shawn Cohen","Shawn",1974-09-20,NA,"Male","White","Jewish","Advertising Sales","ESTP"
"104",104,"Osten Taylor","Osten",1975-12-10,NA,"Male","Black",NA,"Equity Trade Manager","ESFP"
"105",105,"Andrew Savage","Andrew",1963-07-29,NA,"Male",NA,NA,"Attorney","ESTJ"
"106",106,"Ryan Opray","Ryan O.",1972-08-06,NA,"Male",NA,NA,"Electrician","ISFJ"
"107",107,"Rupert Boneham","Rupert",1964-01-27,NA,"Male",NA,NA,"Troubled Teens Mentor","ESFJ"
"108",108,"Tijuana Bradley","Tijuana",1976-07-23,NA,"Female","Black",NA,"Pharmaceutical Sales","ESFP"
"109",109,"Christa Hastie","Christa",1978-11-06,NA,"Female",NA,NA,"Computer Programmer","ESFP"
"110",110,"Darrah Johnson","Darrah",1981-05-19,NA,"Female",NA,NA,"Mortician","ISTP"
"111",111,"Jon Dalton","Jonny Fairplay",1974-03-11,NA,"Male",NA,NA,"Art Consultant","ENTP"
"112",112,"Sandra Diaz-Twine","Sandra",1974-07-30,NA,"Female",NA,"Hispanic or Latino","Office Assistant;Case Manager","ESTP"
"113",113,"Brook Geraghty","Brook",1976-11-20,NA,"Male",NA,NA,"Document Manager","INTP"
"114",114,"Dolly Neely","Dolly",1978-11-18,NA,"Female",NA,NA,"Sheep Farmer","ISFP"
"115",115,"John Palyok","John P.",1973-05-13,NA,"Male",NA,NA,"Sales Manager","ESTP"
"116",116,"Mia Galeotalanza","Mia",1974-08-17,NA,"Female",NA,NA,"Bookkeeper","ESFP"
"117",117,"Brady Finta","Brady",1970-12-17,NA,"Male",NA,NA,"FBI Agent","ISTJ"
"118",118,"Travis Sampson","Travis",1971-02-19,NA,"Male",NA,NA,"Security Officer","ISFP"
"119",119,"Lisa Keiffer","Lisa",1960-05-03,NA,"Female",NA,NA,"Real Estate Agent","ESFJ"
"120",120,"John Kenney","John K.",1981-09-26,NA,"Male",NA,NA,"Mechanical Bull Operator","ESFP"
"121",121,"Rory Freeman","Rory",1968-10-30,NA,"Male","Black",NA,"Housing Case Manager","INTP"
"122",122,"Lea Masters","Lea",1964-03-28,NA,"Male",NA,NA,"Drill Sergeant","ESFJ"
"123",123,"James Crittenden","Chad",1969-08-08,NA,"Male",NA,NA,"Teacher","ESTP"
"124",124,"Leann Slaby","Leann",1969-07-08,NA,"Female",NA,NA,"Equity Research Assistant","INFJ"
"125",125,"Ami Cusack","Ami",1973-01-25,NA,"Female",NA,NA,"Coffee Barista;Nanny","ENTJ"
"126",126,"Julie Berry","Julie",1980-12-15,NA,"Female",NA,NA,"Youth Mentor","INFP"
"127",127,"Eliza Orlins","Eliza",1982-12-25,NA,"Female","White","Jewish","Pre-Law Student;Law School Student","ENTJ"
"128",128,"Scout Cloud Lee","Scout",1944-11-08,NA,"Female",NA,NA,"Rancher","INFJ"
"129",129,"Twila Tanner","Twila",1962-10-12,NA,"Female",NA,NA,"Highway Repair Worker","ISTJ"
"130",130,"Chris Daugherty","Chris",1970-08-29,NA,"Male",NA,NA,"Highway Construction Worker","ENTP"
"131",131,"Jonathan Libby","Jonathan",1981-09-05,NA,"Male",NA,NA,"Sales & Marketing Associate","ISTP"
"132",132,"Wanda Shirk","Wanda",1949-08-24,NA,"Female",NA,NA,"English Teacher","ENFP"
"133",133,"Jolanda Jones","Jolanda",1965-11-06,NA,"Female","Black",NA,"Lawyer","ESTJ"
"134",134,"Ashlee Ashby","Ashlee",1982-05-02,NA,"Female",NA,NA,"Student","ISFJ"
"135",135,"Jeff Wilson","Jeff",1983-02-09,NA,"Male",NA,NA,"Personal Trainer","ESFP"
"136",136,"Kimberly Mullen","Kim",1979-03-13,NA,"Female",NA,NA,"Graduate Student","INTJ"
"137",137,"Willard Smith","Willard",1947-11-30,NA,"Male",NA,NA,"Lawyer","INTP"
"138",138,"Angie Jakusz","Angie",1980-03-27,2021-01-08,"Female",NA,NA,"Bartender","INFP"
"139",139,"James Miller","James",1971-07-08,NA,"Male",NA,NA,"Steelworker","ESTP"
"140",140,"Ibrehem Rahman","Ibrehem",1977-03-04,NA,"Male","Black",NA,"Waiter","ISTJ"
"141",141,"Bobby Jon Drinkard","Bobby Jon",1977-05-10,NA,"Male",NA,NA,"Waiter","ISTP"
"142",142,"Coby Archa","Coby",1972-09-08,NA,"Male",NA,NA,"Hairstylist","ENFP"
"143",143,"Janu Tornell","Janu",1965-05-09,NA,"Female","Cuban American","Hispanic or Latino","Vegas Showgirl","INFP"
"144",144,"Stephenie LaGrossa","Stephenie",1979-12-06,NA,"Female",NA,NA,"Pharmaceutical Sales Representative","ESTJ"
"145",145,"Gregg Carey","Gregg",1977-01-09,NA,"Male",NA,NA,"Business Consultant","INTP"
"146",146,"Caryn Groedel","Caryn",1958-08-13,NA,"Female","White","Jewish","Civil Rights Lawyer","ISTJ"
"147",147,"Jennifer Lyon","Jenn",1972-02-27,2010-01-19,"Female",NA,NA,"Nanny","ISFP"
"148",148,"Ian Rosenberger","Ian",1981-08-24,NA,"Male",NA,NA,"Dolphin Trainer","ESFP"
"149",149,"Katie Gallagher","Katie",1975-05-28,NA,"Female",NA,NA,"Advertising Executive","ESFP"
"150",150,"Tom Westman","Tom",1964-01-04,NA,"Male",NA,NA,"NYC Firefighter;Motivational Speaker","ESTJ"
"151",151,"Jim Lynch","Jim",1942-01-07,NA,"Male",NA,NA,"Retired Fire Captain","ISTJ"
"152",152,"Morgan McDevitt","Morgan",1983-11-24,NA,"Female",NA,NA,"Magician's Assistant","INFP"
"153",153,"Brianna Varela","Brianna",1983-10-29,NA,"Female",NA,"Hispanic or Latino","Retail Salesperson","ENFP"
"154",154,"Brooke Struck","Brooke",1979-07-30,NA,"Female",NA,NA,"Law Student","ISTJ"
"155",155,"Blake Towsley","Blake",1981-05-05,NA,"Male",NA,NA,"Real Estate Broker","ESTP"
"156",156,"Margaret Bobonich","Margaret",1962-06-05,NA,"Female",NA,NA,"Nurse Practitioner","ESFJ"
"157",157,"Brian Corridan","Brian",1983-02-10,NA,"Male",NA,NA,"Ivy League Student","ENTP"
"158",158,"Amy O'Hara","Amy",1965-11-02,NA,"Female",NA,NA,"Police Sergeant","ESTP"
"159",159,"Brandon Bellinger","Brandon",1983-01-22,NA,"Male",NA,NA,"Farmer","ISTP"
"160",160,"Jamie Newton","Jamie",1981-01-26,NA,"Male",NA,NA,"Water Skiing Instructor","ISTP"
"161",161,"Gary Hogeboom","Gary",1958-08-21,NA,"Male",NA,NA,"Ex-NFL Quarterback","INFJ"
"162",162,"Judd Sergeant","Judd",1970-09-13,NA,"Male",NA,NA,"Hotel Doorman","ESTP"
"163",163,"Cindy Hall","Cindy",1974-06-28,NA,"Female",NA,NA,"Zookeeper","ISFP"
"164",164,"Lydia Morales","Lydia",1963-01-19,NA,"Female","Puerto Rican American","Hispanic or Latino","Fishmonger","ISFJ"
"165",165,"Rafe Judkins","Rafe",1983-01-08,NA,"Male",NA,NA,"Wilderness Guide","INFP"
"166",166,"Danni Boatwright","Danni",1975-07-13,NA,"Female",NA,NA,"Sports Radio Host;Owner of Sideline Chic","ENFJ"
"167",167,"Tina Scheer","Tina",1960-11-17,NA,"Female",NA,NA,"Lumberjill","ESTP"
"168",168,"Melinda Hyder","Melinda",1973-05-23,NA,"Female",NA,NA,"Singer/Entertainer","ESFJ"
"169",169,"Misty Giles","Misty",1981-02-25,NA,"Female",NA,NA,"Missile Engineer","INTP"
"170",170,"Ruth Marie Milliman","Ruth Marie",1957-04-11,NA,"Female",NA,NA,"Real Estate","ISFJ"
"171",171,"Bobby Mason","Bobby",1973-08-20,NA,"Male","Black",NA,"Attorney","ISTP"
"172",172,"Dan Barry","Dan",1953-12-30,NA,"Male",NA,NA,"Astronaut","ISFJ"
"173",173,"Nick Stanbury","Nick",1980-07-21,NA,"Male",NA,NA,"Financial Sales","ISFP"
"174",174,"Austin Carty","Austin",1981-04-29,NA,"Male",NA,NA,"Writer","INFP"
"175",175,"Sally Schumann","Sally",1978-12-10,NA,"Female",NA,NA,"Social Worker","INFP"
"176",176,"Bruce Kanegai","Bruce",1947-12-17,NA,"Male","Asian","Japanese American","Art Teacher","INFP"
"177",177,"Courtney Marit","Courtney",1974-05-24,NA,"Female",NA,NA,"Fire Dancer","ENFP"
"178",178,"Shane Powers","Shane",1970-11-28,NA,"Male",NA,NA,"Marketing Executive","ESFP"
"179",179,"Cirie Fields","Cirie",1970-07-18,NA,"Female","Black",NA,"Nurse","ENFJ"
"180",180,"Terry Deitz","Terry",1959-10-10,NA,"Male",NA,NA,"Pilot","ESTJ"
"181",181,"Danielle DiLorenzo","Danielle",1981-06-03,NA,"Female",NA,NA,"Medical Sales Rep.","ESFP"
"182",182,"Aras Baskauskas","Aras",1981-09-26,NA,"Male",NA,NA,"Yoga Instructor;Musician","INFP"
"183",183,"Sekou Bunch","Sekou",1960-09-09,NA,"Male","Black",NA,"Jazz Musician","ESFJ"
"184",184,"Virgilio Garcia","Billy",1970-04-22,NA,"Male",NA,"Hispanic or Latino","Heavy Metal Musician","INFJ"
"185",185,"Cecilia Mansilla","Cecilia",1977-01-13,NA,"Female","Peruvian American","Hispanic or Latino","Risk Consultant","ISTJ"
"186",186,"John Calderon","J.P.",1975-09-05,NA,"Male",NA,"Hispanic or Latino","Volleyball Pro","ESFP"
"187",187,"Stephannie Favor","Stephannie",1970-07-12,NA,"Female","Black",NA,"Nursing Student","ISFJ"
"188",188,"Anh-Tuan Bui","Cao Boi",1964-04-10,NA,"Male","Asian","Vietnamese American","Nail Salon Manager","ENFP"
"189",189,"Cristina Coria","Cristina",1971-04-18,NA,"Female",NA,"Hispanic or Latino","Police Officer","ISFJ"
"190",190,"Jessica Smith","Jessica",1979-01-22,NA,"Female","White",NA,"Roller Girl","ENFP"
"191",191,"Brad Virata","Brad",1976-11-23,NA,"Male","Asian","Asian American","Fashion Director","INFJ"
"192",192,"Rebecca Borman","Rebecca",1971-08-31,NA,"Female","Black",NA,"Make-Up Artist","ISFJ"
"193",193,"Jenny Guzon-Bae","Jenny",1970-05-08,NA,"Female","Asian","Filipino American","Real Estate Agent","ISTJ"
"194",194,"Nathan Gonzalez","Nate",1980-07-26,NA,"Male","Black","Hispanic or Latino","Shoe Salesman","ESTP"
"195",195,"Candice Cody","Candice",1982-11-12,NA,"Female",NA,NA,"Pre-Med Student;Physician/Anesthesiology Resident","ISTJ"
"196",196,"Jonathan Penner","Jonathan",1962-03-05,NA,"Male","White","Jewish","Writer","ENTP"
"197",197,"Parvati Shallow","Parvati",1982-09-21,NA,"Female","White",NA,"Boxer;Charity Organizer;Yoga Teacher/Life Coach/Speaker","ENFJ"
"198",198,"Adam Gentry","Adam",1978-08-21,NA,"Male","White",NA,"Copier Sales","ESTP"
"199",199,"Sundra Oakley","Sundra",1975-01-02,NA,"Female","Black",NA,"Actress","INFP"
"200",200,"Rebekah Lee","Becky",1977-09-11,NA,"Female","Asian","Korean American","Attorney","INTP"
"201",201,"Oscar Lusth","Ozzy",1981-08-23,NA,"Male","Mexican American","Hispanic or Latino","Waiter;Photographer","ISFP"
"202",202,"Yul Kwon","Yul",1975-02-14,NA,"Male","Asian","Korean American","Management Consultant;Product Management","INTJ"
"203",203,"Jessica deBen","Jessica",1979-04-25,NA,"Female",NA,NA,"Fashion Stylist","INFJ"
"204",204,"Erica Durousseau","Erica",1979-12-11,NA,"Female","Black",NA,"Non-Profit Fundraiser","ESFP"
"205",205,"Sylvia Kwan","Sylvia",1954-08-18,NA,"Female","Asian","Hong Konger American","Architect","ISTJ"
"206",206,"Gary Stritesky","Gary",1951-09-16,NA,"Male",NA,NA,"School Bus Driver","ISFJ"
"207",207,"Liliana Gomez","Liliana",1981-04-05,NA,"Female","Mexican American","Hispanic or Latino","Loan Officer","ISTJ"
"208",208,"Rita Verreos","Rita",1968-07-19,NA,"Female","Venezuelan American","Hispanic or Latino","Single Mom","ISFJ"
"209",209,"Anthony Robinson","Anthony",1974-06-25,NA,"Male","Black",NA,"Expert Witness Locator","INFP"
"210",210,"James Reid","Rocky",1978-09-11,NA,"Male",NA,NA,"Bartender","ESTP"
"211",211,"Lisette Linares","Lisi",1970-06-09,NA,"Female","Cuban American","Hispanic or Latino","Customer Service Rep.","ESFP"
"212",212,"Michelle Yi","Michelle",1983-12-02,NA,"Female","Asian","Taiwanese American","Student","ENFP"
"213",213,"Edgardo Rivera","Edgardo",1978-10-05,NA,"Male","Puerto Rican American","Hispanic or Latino","Ad Executive","ESTP"
"214",214,"Mookie Lee","Mookie",1981-11-10,NA,"Male","Asian","Korean American","Business Consultant","ESFP"
"215",215,"Alex Angarita","Alex",1978-04-20,NA,"Male","Colombian American","Hispanic or Latino","Attorney","ENTJ"
"216",216,"Stacy Kimball","Stacy",1979-10-01,NA,"Female","Asian","Korean American","Web Producer","INTJ"
"217",217,"Kenward Bernis","Boo",1972-06-21,NA,"Male",NA,NA,"Construction Worker","ISTP"
"218",218,"Yau-Man Chan","Yau-Man",1952-08-26,NA,"Male","Asian","Bornean American","Computer Engineer","INTP"
"219",219,"Andria Herd","Dreamz",1981-12-15,NA,"Male","Black",NA,"Cheerleading Coach","ESFP"
"220",220,"Cassandra Franklin","Cassandra",1964-04-19,NA,"Female","Black",NA,"College Administrator","ISFJ"
"221",221,"Earl Cole","Earl",1971-04-09,NA,"Male","Black",NA,"Ad Executive","INFJ"
"222",222,"Steve Morris","Chicken",1959-09-02,NA,"Male",NA,NA,"Chicken Farmer","ISFP"
"223",223,"Ashley Massaro","Ashley",1979-05-26,2019-05-16,"Female",NA,NA,"Professional Wrestler","ESFP"
"224",224,"Leslie Nease","Leslie",1969-03-25,NA,"Female",NA,NA,"Christian Radio Host","ENFP"
"225",225,"Dave Cruser","Dave",1969-10-26,NA,"Male",NA,NA,"Former Model","ESTP"
"226",226,"Aaron Reisberger","Aaron",1975-04-25,NA,"Male",NA,NA,"Surfing Instructor","ISTJ"
"227",227,"Sherea Lloyd","Sherea",1981-07-31,NA,"Female","Black",NA,"Elementary Teacher","ESFP"
"228",228,"Jaime Dugan","Jaime",1985-06-30,NA,"Female",NA,NA,"Student","ESFJ"
"229",229,"Jean-Robert Bellande","Jean-Robert",1970-09-17,NA,"Male",NA,NA,"Poker Player","INTP"
"230",230,"Michael Zernow","Frosti",1987-02-15,NA,"Male","Asian","Japanese Russian American","Student/Athlete","ESFP"
"231",231,"James Clement","James",1977-03-09,NA,"Male","Black",NA,"Gravedigger","ISTP"
"232",232,"Erik Huffman","Erik",1981-01-31,NA,"Male",NA,NA,"Musician","ISFP"
"233",233,"Peih-Gee Law","Peih-Gee",1978-04-07,NA,"Female","Asian",NA,"Jeweler","ENTP"
"234",234,"Denise Martin","Denise",1967-05-05,NA,"Female",NA,NA,"School Lunch Lady","ISFP"
"235",235,"Amanda Kimmel","Amanda",1984-08-03,NA,"Female",NA,NA,"Hiking Guide;Aspiring Designer","ISFP"
"236",236,"Courtney Yates","Courtney",1981-03-26,NA,"Female",NA,NA,"Waitress","ENTP"
"237",237,"Todd Herzog","Todd",1985-01-29,NA,"Male",NA,NA,"Flight Attendant","ENFP"
"238",238,"Mary Sartain","Mary",1978-11-11,NA,"Female",NA,NA,"Real Estate Manager","ISFJ"
"239",239,"Michael Bortone","Mikey B",1973-12-29,NA,"Male",NA,NA,"Aspiring Writer","ENTP"
"240",240,"Joel Anderson","Joel",1975-06-01,NA,"Male",NA,NA,"Firefighter","ESTJ"
"241",241,"Chet Welch","Chet",1959-10-22,NA,"Male",NA,NA,"Pageant Coach","INFP"
"242",242,"Kathleen Sleckman","Kathy",1962-08-14,NA,"Female",NA,NA,"Golf Course Vendor","ENFP"
"243",243,"Tracy Hughes-Wolf","Tracy",1964-07-09,NA,"Female",NA,NA,"Residential Builder","ENFJ"
"244",244,"Jason Siska","Jason",1985-03-04,NA,"Male",NA,NA,"Gymnastics Coach","ESFP"
"245",245,"Alexis Jones","Alexis",1983-07-06,NA,"Female",NA,NA,"Motivational Speaker","ENFJ"
"246",246,"Erik Reichenbach","Erik",1985-11-27,NA,"Male",NA,NA,"Ice Cream Scooper;Comic Book Artist","INTP"
"247",247,"Natalie Bolton","Natalie",1975-12-31,NA,"Female","Asian",NA,"Personal Trainer","INTJ"
